member_name,political_group,policy_topic,vote,date
ECR (group),ECR,EU–Mexico Interim Agreement on Trade,FOR,2026-07-08
Renew (group),Renew,EU–Mexico Interim Agreement on Trade,FOR,2026-07-08
Greens/EFA (group),Greens/EFA,EU–Mexico Interim Agreement on Trade,FOR,2026-07-08
The Left (group),The Left,EU–Mexico Interim Agreement on Trade,AGAINST,2026-07-08
NI (group),NI,EU–Mexico Interim Agreement on Trade,AGAINST,2026-07-08
ESN (group),ESN,EU–Mexico Interim Agreement on Trade,FOR,2026-07-08
EPP (group),EPP,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,AGAINST,2026-07-08
S&D (group),S&D,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
ECR (group),ECR,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
Renew (group),Renew,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,AGAINST,2026-07-08
Greens/EFA (group),Greens/EFA,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
The Left (group),The Left,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
NI (group),NI,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
ESN (group),ESN,Objection pursuant to Rule 115(2) and (3) of the Rules of Procedures on the Commission Implementing ,FOR,2026-07-08
EPP (group),EPP,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
S&D (group),S&D,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
Patriots for Europe (group),Patriots for Europe,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
ECR (group),ECR,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
Renew (group),Renew,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
Greens/EFA (group),Greens/EFA,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
The Left (group),The Left,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
NI (group),NI,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",FOR,2026-07-08
ESN (group),ESN,"The impact of the 1974 Turkish invasion on Cypriot women and girls, and the crimes committed by Turk",AGAINST,2026-07-08
EPP (group),EPP,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,FOR,2026-07-07
S&D (group),S&D,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,AGAINST,2026-07-07
ECR (group),ECR,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,AGAINST,2026-07-07
Renew (group),Renew,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,FOR,2026-07-07
The Left (group),The Left,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,ABSTAIN,2026-07-07
NI (group),NI,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,AGAINST,2026-07-07
ESN (group),ESN,Implementation and delivery of the Sustainable Development Goals in view of the 2026 High-Level Poli,AGAINST,2026-07-07
EPP (group),EPP,A new strategy for media literacy and digital learning,FOR,2026-07-07
S&D (group),S&D,A new strategy for media literacy and digital learning,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,A new strategy for media literacy and digital learning,AGAINST,2026-07-07
ECR (group),ECR,A new strategy for media literacy and digital learning,ABSTAIN,2026-07-07
Renew (group),Renew,A new strategy for media literacy and digital learning,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,A new strategy for media literacy and digital learning,FOR,2026-07-07
The Left (group),The Left,A new strategy for media literacy and digital learning,FOR,2026-07-07
NI (group),NI,A new strategy for media literacy and digital learning,AGAINST,2026-07-07
ESN (group),ESN,A new strategy for media literacy and digital learning,AGAINST,2026-07-07
EPP (group),EPP,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
S&D (group),S&D,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
ECR (group),ECR,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
Renew (group),Renew,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
The Left (group),The Left,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
NI (group),NI,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
ESN (group),ESN,Mobilisation of the European Union Solidarity Fund: assistance to Romania regarding the floods at th,FOR,2026-07-07
EPP (group),EPP,Coordination of social security systems,FOR,2026-07-07
S&D (group),S&D,Coordination of social security systems,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Coordination of social security systems,FOR,2026-07-07
ECR (group),ECR,Coordination of social security systems,FOR,2026-07-07
Renew (group),Renew,Coordination of social security systems,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Coordination of social security systems,FOR,2026-07-07
The Left (group),The Left,Coordination of social security systems,FOR,2026-07-07
NI (group),NI,Coordination of social security systems,FOR,2026-07-07
ESN (group),ESN,Coordination of social security systems,ABSTAIN,2026-07-07
EPP (group),EPP,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,FOR,2026-07-07
S&D (group),S&D,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,AGAINST,2026-07-07
ECR (group),ECR,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,FOR,2026-07-07
Renew (group),Renew,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,FOR,2026-07-07
The Left (group),The Left,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,FOR,2026-07-07
NI (group),NI,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,AGAINST,2026-07-07
ESN (group),ESN,Draft amending budget no 1/2026: entering the surplus of the financial year 2025,AGAINST,2026-07-07
EPP (group),EPP,Competition policy – annual report 2025,FOR,2026-07-07
S&D (group),S&D,Competition policy – annual report 2025,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Competition policy – annual report 2025,ABSTAIN,2026-07-07
ECR (group),ECR,Competition policy – annual report 2025,FOR,2026-07-07
Renew (group),Renew,Competition policy – annual report 2025,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Competition policy – annual report 2025,FOR,2026-07-07
The Left (group),The Left,Competition policy – annual report 2025,FOR,2026-07-07
NI (group),NI,Competition policy – annual report 2025,ABSTAIN,2026-07-07
ESN (group),ESN,Competition policy – annual report 2025,AGAINST,2026-07-07
EPP (group),EPP,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
S&D (group),S&D,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,ABSTAIN,2026-07-07
ECR (group),ECR,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
Renew (group),Renew,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
The Left (group),The Left,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
NI (group),NI,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,FOR,2026-07-07
ESN (group),ESN,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2026/000 TA 2026 - Techn,AGAINST,2026-07-07
EPP (group),EPP,A coherent tax framework for the EU's financial sector,FOR,2026-07-07
S&D (group),S&D,A coherent tax framework for the EU's financial sector,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,A coherent tax framework for the EU's financial sector,AGAINST,2026-07-07
ECR (group),ECR,A coherent tax framework for the EU's financial sector,AGAINST,2026-07-07
Renew (group),Renew,A coherent tax framework for the EU's financial sector,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,A coherent tax framework for the EU's financial sector,FOR,2026-07-07
The Left (group),The Left,A coherent tax framework for the EU's financial sector,ABSTAIN,2026-07-07
NI (group),NI,A coherent tax framework for the EU's financial sector,ABSTAIN,2026-07-07
ESN (group),ESN,A coherent tax framework for the EU's financial sector,AGAINST,2026-07-07
EPP (group),EPP,Financial activities of the European Investment Bank Group – annual report 2025,FOR,2026-07-07
S&D (group),S&D,Financial activities of the European Investment Bank Group – annual report 2025,AGAINST,2026-07-07
Patriots for Europe (group),Patriots for Europe,Financial activities of the European Investment Bank Group – annual report 2025,AGAINST,2026-07-07
ECR (group),ECR,Financial activities of the European Investment Bank Group – annual report 2025,FOR,2026-07-07
Renew (group),Renew,Financial activities of the European Investment Bank Group – annual report 2025,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Financial activities of the European Investment Bank Group – annual report 2025,AGAINST,2026-07-07
The Left (group),The Left,Financial activities of the European Investment Bank Group – annual report 2025,AGAINST,2026-07-07
NI (group),NI,Financial activities of the European Investment Bank Group – annual report 2025,AGAINST,2026-07-07
ESN (group),ESN,Financial activities of the European Investment Bank Group – annual report 2025,AGAINST,2026-07-07
EPP (group),EPP,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
S&D (group),S&D,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
ECR (group),ECR,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
Renew (group),Renew,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
Greens/EFA (group),Greens/EFA,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,AGAINST,2026-07-07
The Left (group),The Left,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,AGAINST,2026-07-07
NI (group),NI,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
ESN (group),ESN,Temporary support and payment of advances regarding the increased fertiliser prices due to the Middl,FOR,2026-07-07
EPP (group),EPP,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",FOR,2026-07-07
S&D (group),S&D,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",FOR,2026-07-07
Patriots for Europe (group),Patriots for Europe,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",FOR,2026-07-07
ECR (group),ECR,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",FOR,2026-07-07
Renew (group),Renew,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",FOR,2026-07-07
Greens/EFA (group),Greens/EFA,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",FOR,2026-07-07
The Left (group),The Left,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",AGAINST,2026-07-07
NI (group),NI,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",AGAINST,2026-07-07
ESN (group),ESN,"Recommendation for the Council, for the Commission and for the Vice-President of the Commission / Hi",ABSTAIN,2026-07-07
